GID_1,adm_id,mean_01,median_01,min_01,max_01,sum_01,perc_nodata_01,mean_02,median_02,min_02,max_02,sum_02,perc_nodata_02,mean_03,median_03,min_03,max_03,sum_03,perc_nodata_03,mean_04,median_04,min_04,max_04,sum_04,perc_nodata_04,mean_05,median_05,min_05,max_05,sum_05,perc_nodata_05,mean_06,median_06,min_06,max_06,sum_06,perc_nodata_06,mean_07,median_07,min_07,max_07,sum_07,perc_nodata_07,mean_08,median_08,min_08,max_08,sum_08,perc_nodata_08,mean_09,median_09,min_09,max_09,sum_09,perc_nodata_09,mean_10,median_10,min_10,max_10,sum_10,perc_nodata_10,mean_11,median_11,min_11,max_11,sum_11,perc_nodata_11,mean_12,median_12,min_12,max_12,sum_12,perc_nodata_12
BEN.1_1,1.0,286.7608524072612,286.0,286,452,363326,0.0,286.7608524072612,286.0,286,452,363326,0.0,286.7608524072612,286.0,286,452,363326,0.0,286.7608524072612,286.0,286,452,363326,0.0,286.7608524072612,286.0,286,452,363326,0.0,286.7608524072612,286.0,286,452,363326,0.0,286.7608524072612,286.0,286,452,363326,0.0,286.7608524072612,286.0,286,452,363326,0.0,286.7608524072612,286.0,286,452,363326,0.0,286.7608524072612,286.0,286,452,363326,0.0,286.7608524072612,286.0,286,452,363326,0.0,286.7608524072612,286.0,286,452,363326,0.0
BEN.2_1,2.0,266.48377281947256,266.0,266,388,262753,0.0,266.48377281947256,266.0,266,388,262753,0.0,266.48377281947256,266.0,266,388,262753,0.0,266.48377281947256,266.0,266,388,262753,0.0,266.48377281947256,266.0,266,388,262753,0.0,266.48377281947256,266.0,266,388,262753,0.0,266.48377281947256,266.0,266,388,262753,0.0,266.48377281947256,266.0,266,388,262753,0.0,266.48377281947256,266.0,266,388,262753,0.0,266.48377281947256,266.0,266,388,262753,0.0,266.48377281947256,266.0,266,388,262753,0.0,266.48377281947256,266.0,266,388,262753,0.0
BEN.3_1,3.0,180.28169014084503,180.0,180,200,25600,0.6993006993006993,180.28169014084503,180.0,180,200,25600,0.6993006993006993,180.28169014084503,180.0,180,200,25600,0.6993006993006993,180.28169014084503,180.0,180,200,25600,0.6993006993006993,180.28169014084503,180.0,180,200,25600,0.6993006993006993,180.28169014084503,180.0,180,200,25600,0.6993006993006993,180.28169014084503,180.0,180,200,25600,0.6993006993006993,180.28169014084503,180.0,180,200,25600,0.6993006993006993,180.28169014084503,180.0,180,200,25600,0.6993006993006993,180.28169014084503,180.0,180,200,25600,0.6993006993006993,180.28169014084503,180.0,180,200,25600,0.6993006993006993,180.28169014084503,180.0,180,200,25600,0.6993006993006993
BEN.4_1,4.0,285.86422764227643,286.0,233,286,351613,0.0,285.86422764227643,286.0,233,286,351613,0.0,285.86422764227643,286.0,233,286,351613,0.0,285.86422764227643,286.0,233,286,351613,0.0,285.86422764227643,286.0,233,286,351613,0.0,285.86422764227643,286.0,233,286,351613,0.0,285.86422764227643,286.0,233,286,351613,0.0,285.86422764227643,286.0,233,286,351613,0.0,285.86422764227643,286.0,233,286,351613,0.0,285.86422764227643,286.0,233,286,351613,0.0,285.86422764227643,286.0,233,286,351613,0.0,285.86422764227643,286.0,233,286,351613,0.0
BEN.5_1,5.0,233.05985401459853,233.0,223,266,159646,0.0,233.05985401459853,233.0,223,266,159646,0.0,233.05985401459853,233.0,223,266,159646,0.0,233.05985401459853,233.0,223,266,159646,0.0,233.05985401459853,233.0,223,266,159646,0.0,233.05985401459853,233.0,223,266,159646,0.0,233.05985401459853,233.0,223,266,159646,0.0,233.05985401459853,233.0,223,266,159646,0.0,233.05985401459853,233.0,223,266,159646,0.0,233.05985401459853,233.0,223,266,159646,0.0,233.05985401459853,233.0,223,266,159646,0.0,233.05985401459853,233.0,223,266,159646,0.0
BEN.6_1,6.0,266.03898635477583,266.0,266,286,136478,0.0,266.03898635477583,266.0,266,286,136478,0.0,266.03898635477583,266.0,266,286,136478,0.0,266.03898635477583,266.0,266,286,136478,0.0,266.03898635477583,266.0,266,286,136478,0.0,266.03898635477583,266.0,266,286,136478,0.0,266.03898635477583,266.0,266,286,136478,0.0,266.03898635477583,266.0,266,286,136478,0.0,266.03898635477583,266.0,266,286,136478,0.0,266.03898635477583,266.0,266,286,136478,0.0,266.03898635477583,266.0,266,286,136478,0.0,266.03898635477583,266.0,266,286,136478,0.0
BEN.7_1,7.0,200.896,200.0,200,242,25112,0.0,200.896,200.0,200,242,25112,0.0,200.896,200.0,200,242,25112,0.0,200.896,200.0,200,242,25112,0.0,200.896,200.0,200,242,25112,0.0,200.896,200.0,200,242,25112,0.0,200.896,200.0,200,242,25112,0.0,200.896,200.0,200,242,25112,0.0,200.896,200.0,200,242,25112,0.0,200.896,200.0,200,242,25112,0.0,200.896,200.0,200,242,25112,0.0,200.896,200.0,200,242,25112,0.0
BEN.8_1,8.0,180.0,180.0,180,180,360,0.0,180.0,180.0,180,180,360,0.0,180.0,180.0,180,180,360,0.0,180.0,180.0,180,180,360,0.0,180.0,180.0,180,180,360,0.0,180.0,180.0,180,180,360,0.0,180.0,180.0,180,180,360,0.0,180.0,180.0,180,180,360,0.0,180.0,180.0,180,180,360,0.0,180.0,180.0,180,180,360,0.0,180.0,180.0,180,180,360,0.0,180.0,180.0,180,180,360,0.0
BEN.9_1,9.0,199.44444444444446,200.0,180,200,14360,0.0,199.44444444444446,200.0,180,200,14360,0.0,199.44444444444446,200.0,180,200,14360,0.0,199.44444444444446,200.0,180,200,14360,0.0,199.44444444444446,200.0,180,200,14360,0.0,199.44444444444446,200.0,180,200,14360,0.0,199.44444444444446,200.0,180,200,14360,0.0,199.44444444444446,200.0,180,200,14360,0.0,199.44444444444446,200.0,180,200,14360,0.0,199.44444444444446,200.0,180,200,14360,0.0,199.44444444444446,200.0,180,200,14360,0.0,199.44444444444446,200.0,180,200,14360,0.0
BEN.10_1,10.0,223.0,223.0,223,223,13826,1.5873015873015872,223.0,223.0,223,223,13826,1.5873015873015872,223.0,223.0,223,223,13826,1.5873015873015872,223.0,223.0,223,223,13826,1.5873015873015872,223.0,223.0,223,223,13826,1.5873015873015872,223.0,223.0,223,223,13826,1.5873015873015872,223.0,223.0,223,223,13826,1.5873015873015872,223.0,223.0,223,223,13826,1.5873015873015872,223.0,223.0,223,223,13826,1.5873015873015872,223.0,223.0,223,223,13826,1.5873015873015872,223.0,223.0,223,223,13826,1.5873015873015872,223.0,223.0,223,223,13826,1.5873015873015872
